Entity,Total Assets,Total Liabilities,Total Class A Share Value Issued EOP,Class A Preferred Value,Class B Shares Value,Membership Interests,Class C Issued and Outstanding 2023,Total Class A Shares,Class A Preferred Issued EOP,Class A Pref Shares Issued Value,Subscriptions Settled Value,Accumulated RE BOP,Class A Shares Issued Balance BOP,Class A Shares Issued Value Balance BOP,Pref Class A Shares Balance BOP,Pref Class A Value Balance BOP,Membership Interest Issued BOP,Membership Interest Issued,Membership Interest Converted 2023,Net income/(loss),Share-based compensation - administrative services fees,Other amounts due to affiliates,Net Cash Provided/(Used) in Operating Activities,Purchase of artwork,Net Cash Provided/(Used) in Investing Activities,Proceeds from issuance of Class A ordinary shares,Net Cash Provided/(Used) in Financing Activities,Net Change in Cash and Cash Equivalents,"Cash and Cash Equivalents, beginning of period","Cash and Cash Equivalents, end of period",Issuance of Class A ordinary shares from subscriptions previously received,Net Income,Weighted Average Class A Shares Outstanding EOP
"masterworks 271, llc","2,519,160","2,519,060",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"2,519,160","2,519,160",-,"2,519,160",0,-,-
"masterworks 272, llc","364,087",-,"363,807",180,100,-,0,"20,200",9,180,"404,000",-,-,-,-,-,-,100,-100,"-40,193",180,0,"-40,013","-363,987","-363,987","404,000","404,100",100,-,100,0,"-40,193","20,200"
"masterworks 273, llc","5,120","5,020",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"5,120","5,120",-,"5,120",0,-,-
"masterworks 274, llc","32,500","32,400",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"32,500","32,500",-,"32,500",0,-,-
"masterworks 275, llc","849,320","849,220",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"849,320","849,320",-,"849,320",0,-,-
"masterworks 276, llc","389,493","55,500","333,893",0,100,-,0,"18,675",0,NA,"373,500",-,-,-,-,-,-,100,-100,"-39,607",0,0,"-12,107","-361,393","-361,393","373,500","401,600","28,100",-,"28,100",0,"-39,607","18,675"
"masterworks 277, llc","857,346","24,386","832,260",600,100,-,0,"46,343",30,600,"926,860",-,-,-,-,-,-,100,-100,"-94,600",600,106,"-76,754","-850,000","-850,000","926,860","934,100","7,346",-,"7,346",0,"-94,600","46,343"
"masterworks 278, llc","333,880","333,780",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"333,880","333,880",-,"333,880",0,-,-
"masterworks 279, llc",100,-,-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,100,100,-,100,0,-,-
"masterworks 280, llc","788,100","50,700","737,260",40,100,-,0,"41,115",2,40,"822,300",-,-,-,-,-,-,100,-100,"-85,040",40,0,"-47,300","-775,000","-775,000","822,300","835,400","13,100",-,"13,100",0,"-85,040","41,115"
"masterworks 282, llc",100,-,-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,100,100,-,100,0,-,-
"masterworks 283, llc","209,400","209,300",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"209,400","209,400",-,"209,400",0,-,-
"masterworks 284, llc","828,160","828,060",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"828,160","828,160",-,"828,160",0,-,-
"masterworks 285, llc","290,420","290,320",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"290,420","290,420",-,"290,420",0,-,-
"masterworks 286, llc",100,-,-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,100,100,-,100,0,-,-
"masterworks 287, llc","718,760","718,660",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"718,760","718,760",-,"718,760",0,-,-
"masterworks 288, llc","5,403,980","5,403,880",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"5,403,980","5,403,980",-,"5,403,980",0,-,-
"masterworks 289, llc","62,720","62,620",-,0,100,-,0,-,0,NA,-,-,-,-,-,-,-,100,-100,-,0,0,-,0,-,0,"62,720","62,720",-,"62,720",0,-,-
"masterworks 300, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 301, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 302, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 303, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 304, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 305, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 306, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 307, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 308, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 309, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 310, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 311, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 312, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 313, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 314, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 315, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 316, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 317, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 318, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 319, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 320, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 321, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 323, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 324, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 325, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 326, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 327, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 328, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"masterworks 329, llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
